Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure
0.244186047,0.25,0.757462024,0.415555556,3,1.272439024,4.301326993,2.196385694,2.784035703,32.25,10.15407407,11.82770517,27
0.333333333,0.18,0.830712986,0.500714286,7,0.44,0.790948797,4.498737374,6.63402977,13.5,20.22857143,27.31557089,14
0.03125,0.17,0.418551925,0.27,6,0.256451613,0.407877011,2.375991539,2.798090413,24,6.08137931,6.971505128,29
0,0.17,0.912950057,0.308163265,6,0.298627451,0.895801361,1.63252494,1.658535872,39,7.651836735,7.642495141,49
0.024390244,0.25,0.21908731,0.152972973,7,0.151025641,0.213563683,1.940413408,1.329895775,30.75,8.511081081,5.606596206,37
0.126865672,0.49,0.753757689,0.547222222,10,0.361818182,0.736647101,1.385839966,2.242574473,50.25,15.51111111,13.77408004,18
0.350877193,0.13,2.83647126,1.022777778,8,0.759636364,2.317259687,1.68972332,1.968573557,42.75,8.64,9.499550666,36
0.384615385,0.07,0.275171275,0.247692308,9,0.480833333,0.779553477,4.067708333,4.365429469,19.5,18.57846154,16.24913221,13
0.428571429,0.16,0.443876639,0.341666667,2,0.537307692,0.750927734,3.732713915,3.308694374,21,13.48444444,11.25570089,18
0.361702128,0.09,1.020760275,0.536538462,8,0.591111111,0.904077185,1.869373942,2.319922264,35.25,10.97538462,10.61363396,26
0.405797101,0.16,0.639091152,0.29875,12,0.690588235,1.280868272,1.419395117,2.202178061,51.75,7.63,10.73848666,24
0.133333333,0,,,8,,,,,22.5,,,0
0.425,0.09,0.211737708,0.201428571,7,0.597631579,1.186556303,2.517510121,2.976524669,30,8.643809524,8.706722963,21
0.211538462,0.28,0.359600473,0.34625,9,0.32875,0.353532638,3.915246212,4.466639111,19.5,30.37,15.54371899,8
0.04,0.11,0.320767815,0.225909091,4,0.223478261,0.313609611,3.445093168,4.309608539,18.75,12.515,15.27461565,22
0.247191011,0.26,0.425143826,0.365454545,6,0.488045977,1.727119419,1.118789977,1.935261613,66.75,22.88727273,15.08662791,11
0.161290323,0.23,0.431019832,0.340666667,8,0.211724138,0.337576118,3.131739379,3.862071467,23.25,15.79733333,16.22523936,15
0.363636364,0,,,9,,,,,16.5,,,0
0.19047619,0.15,0.294283634,0.272,8,0.310365854,0.948938907,1.157275021,1.892406546,63,11.62666667,12.45501773,15
0.4,0.1,0.168111684,0.13,8,0.47173913,0.886728677,4.268571429,4.085544543,18.75,17.65714286,15.36632654,14
0.183098592,0.16,0.46047621,0.317391304,7,0.37,0.741219186,1.397290485,1.630272737,53.25,8.090434783,7.411609737,23
